,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
3549,1273.0,5.228260869565217,1772.0,10.652173913043478,1954.0,3.25,59604.4921875,79026.31578947355,711.0,-5.945121951219512,195.0,3.0,3.0,3881953.0,12.312576312576313,678.0,0.5792682926829269,-19.0,-20.670731707317074,711.0,0.012654012654012677,0.012654012654012677,1.3205741626794258,-276.0,816.0,9.435406698564593,3.9043062200956937,-1972.0,12.303089888070836
3550,1278.0,5.4021739130434785,1756.0,10.597826086956522,1964.0,3.141304347826087,59609.375,84990.56603773567,709.0,-7.103658536585367,233.0,3.0,3.0,3882113.0,12.317460317460318,352.0,2.0426829268292686,-67.0,-10.731707317073171,709.0,0.011766011766011792,0.01176601176601179,1.2822966507177034,-268.0,840.0,9.37799043062201,4.019138755980861,-1960.0,12.30305627727577
3551,1274.0,5.423913043478261,1754.0,10.641304347826086,1967.0,3.108695652173913,59614.2578125,84990.56603773567,709.0,-5.548780487804879,182.0,3.0,3.0,3882273.0,12.322344322344323,143.0,5.182926829268293,-170.0,-4.359756097560976,709.0,0.011766011766011792,0.01176601176601179,1.3971291866028708,-292.0,804.0,9.435406698564593,3.8468899521531097,-1972.0,12.341806171874559
3552,1273.0,5.282608695652174,1767.0,10.652173913043478,1953.0,3.260869565217391,59619.140625,84990.56603773567,709.0,-4.481707317073171,147.0,3.0,3.0,3882433.0,12.327228327228328,-192.0,6.7682926829268295,-222.0,5.853658536585367,709.0,0.011766011766011792,0.01176601176601179,1.4545454545454546,-304.0,788.0,9.320574162679426,3.7703349282296648,-1948.0,12.32915382443033
3553,1278.0,5.1521739130434785,1779.0,10.597826086956522,1937.0,3.434782608695652,59624.0234375,81899.99999999984,710.0,-3.932926829268293,129.0,3.0,3.0,3882593.0,12.332112332112333,-546.0,6.829268292682928,-224.0,16.646341463414636,710.0,0.012210012210012234,0.012210012210012234,1.5502392344497606,-324.0,764.0,9.416267942583731,3.6555023923444976,-1968.0,12.274222801001292
3554,1273.0,5.054347826086956,1788.0,10.652173913043478,1944.0,3.358695652173913,59628.90625,81899.99999999984,710.0,-2.804878048780488,92.0,3.0,3.0,3882753.0,12.336996336996338,-781.0,8.353658536585368,-274.0,23.8109756097561,710.0,0.012210012210012234,0.012210012210012234,1.6076555023923444,-336.0,716.0,9.39712918660287,3.4258373205741623,-1964.0,12.259530068674161
3555,1273.0,4.6521739130434785,1825.0,10.652173913043478,1944.0,3.358695652173913,59633.7890625,95840.42553191462,706.0,-2.408536585365854,79.0,3.0,3.0,3882913.0,12.341880341880342,-963.0,9.420731707317074,-309.0,29.35975609756098,706.0,0.010434010434010463,0.010434010434010463,1.569377990430622,-328.0,636.0,9.435406698564593,3.0430622009569377,-1972.0,12.099271369584956
3556,1270.0,4.391304347826087,1849.0,10.684782608695652,1943.0,3.369565217391304,59638.671875,84990.56603773567,709.0,-2.5000000000000004,82.0,3.0,3.0,3883073.0,12.346764346764347,-1140.0,10.152439024390246,-333.0,34.75609756097561,709.0,0.011766011766011792,0.01176601176601179,1.5502392344497606,-324.0,580.0,9.511961722488039,2.77511961722488,-1988.0,12.03337454850362
3557,1265.0,4.119565217391305,1874.0,10.739130434782608,1936.0,3.4456521739130435,59643.5546875,84990.56603773567,709.0,-2.530487804878049,83.0,3.0,3.0,3883233.0,12.351648351648352,-1229.0,10.182926829268293,-334.0,37.46951219512196,709.0,0.011766011766011792,0.01176601176601179,1.6267942583732056,-340.0,512.0,9.55023923444976,2.449760765550239,-1996.0,12.007175312254171
3558,1265.0,3.891304347826087,1895.0,10.739130434782608,1936.0,3.4456521739130435,59648.4375,84990.56603773567,709.0,-1.981707317073171,65.0,3.0,3.0,3883393.0,12.356532356532357,-1238.0,11.067073170731708,-363.0,37.743902439024396,709.0,0.011766011766011792,0.01176601176601179,1.645933014354067,-344.0,440.0,9.531100478468899,2.1052631578947367,-1992.0,11.930787523306076
3559,1259.0,3.717391304347826,1911.0,10.804347826086957,1937.0,3.434782608695652,59653.3203125,88323.5294117645,708.0,-1.3109756097560976,43.0,3.0,3.0,3883553.0,12.361416361416362,-1254.0,11.371951219512196,-373.0,38.23170731707317,708.0,0.01132201132201135,0.011322011322011348,1.6650717703349283,-348.0,408.0,9.569377990430622,1.9521531100478469,-2000.0,11.931079650463694
3560,1260.0,3.5217391304347827,1929.0,10.793478260869565,1927.0,3.543478260869565,59658.203125,95840.42553191462,706.0,-0.7926829268292683,26.0,3.0,3.0,3883713.0,12.366300366300367,-1236.0,10.884146341463415,-357.0,37.6829268292683,706.0,0.010434010434010463,0.010434010434010463,1.7224880382775118,-360.0,384.0,9.569377990430622,1.8373205741626792,-2000.0,11.893614154492932
3561,1259.0,3.4782608695652173,1933.0,10.804347826086957,1927.0,3.543478260869565,59663.0859375,84990.56603773567,709.0,-0.1829268292682927,6.0,3.0,3.0,3883873.0,12.371184371184372,-1238.0,11.250000000000002,-369.0,37.743902439024396,709.0,0.011766011766011792,0.01176601176601179,1.7990430622009568,-376.0,384.0,9.626794258373206,1.8373205741626792,-2012.0,11.89068832360321
3562,1259.0,3.4565217391304346,1935.0,10.804347826086957,1920.0,3.619565217391304,59667.96875,81899.99999999984,710.0,-0.7926829268292683,26.0,3.0,3.0,3884033.0,12.376068376068377,-1240.0,10.884146341463415,-357.0,37.804878048780495,710.0,0.012210012210012234,0.012210012210012234,1.8564593301435406,-388.0,392.0,9.569377990430622,1.875598086124402,-2000.0,11.907255218693358
