,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
2430,3.391304347826087,1304.0,10.315217391304348,1941.0,1726.0,5.728260869565217,19296.875,88323.5294117645,708.0,9.481707317073171,-311.0,3.0,3.0,12503867.0,9.851037851037852,5.823170731707318,-1129.0,-191.0,34.420731707317074,0.011322011322011348,0.01132201132201135,708.0,3.9808612440191387,-832.0,9.129186602870814,344.0,1.645933014354067,-1908.0,12.276710780956103
2431,3.2717391304347827,1304.0,10.315217391304348,1952.0,1724.0,5.75,19301.7578125,95840.42553191462,706.0,9.542682926829269,-313.0,3.0,3.0,12504027.0,9.855921855921856,5.701219512195123,-1154.0,-187.0,35.1829268292683,0.010434010434010463,0.010434010434010463,706.0,4.0765550239234445,-852.0,9.033492822966506,352.0,1.6842105263157894,-1888.0,12.254406830503296
2432,3.1739130434782608,1302.0,10.33695652173913,1961.0,1727.0,5.717391304347826,19306.640625,88323.5294117645,708.0,9.908536585365855,-325.0,3.0,3.0,12504187.0,9.860805860805861,5.640243902439025,-1159.0,-185.0,35.33536585365854,0.011322011322011348,0.01132201132201135,708.0,4.0765550239234445,-852.0,9.09090909090909,312.0,1.492822966507177,-1900.0,12.231719317696868
2433,3.0543478260869565,1300.0,10.358695652173912,1972.0,1728.0,5.706521739130435,19311.5234375,84990.56603773567,709.0,10.30487804878049,-338.0,3.0,3.0,12504347.0,9.865689865689866,5.152439024390245,-1140.0,-169.0,34.75609756097561,0.01176601176601179,0.011766011766011792,709.0,4.019138755980861,-840.0,9.110047846889952,308.0,1.4736842105263157,-1904.0,12.214581720888239
2434,3.0543478260869565,1299.0,10.369565217391305,1972.0,1727.0,5.717391304347826,19316.40625,81899.99999999984,710.0,10.426829268292684,-342.0,3.0,3.0,12504507.0,9.870573870573871,4.939024390243903,-1104.0,-162.0,33.65853658536586,0.012210012210012234,0.012210012210012234,710.0,4.0,-836.0,9.110047846889952,284.0,1.3588516746411483,-1904.0,12.228879211419411
2435,3.032608695652174,1299.0,10.369565217391305,1974.0,1730.0,5.684782608695652,19321.2890625,91928.57142857119,707.0,10.823170731707318,-355.0,3.0,3.0,12504667.0,9.875457875457876,4.573170731707317,-1070.0,-150.0,32.6219512195122,0.010878010878010906,0.010878010878010906,707.0,3.942583732057416,-824.0,9.110047846889952,260.0,1.244019138755981,-1904.0,12.208249326042015
2436,3.043478260869565,1298.0,10.380434782608695,1973.0,1734.0,5.641304347826087,19326.171875,91928.57142857119,707.0,11.55487804878049,-379.0,3.0,3.0,12504827.0,9.88034188034188,4.725609756097562,-1017.0,-155.0,31.00609756097561,0.010878010878010906,0.010878010878010906,707.0,3.9808612440191387,-832.0,9.148325358851674,272.0,1.3014354066985645,-1912.0,12.200020530522872
2437,2.9782608695652173,1303.0,10.326086956521738,1979.0,1735.0,5.630434782608695,19331.0546875,95840.42553191462,706.0,11.981707317073171,-393.0,3.0,3.0,12504987.0,9.885225885225886,4.2682926829268295,-974.0,-140.0,29.695121951219516,0.010434010434010463,0.010434010434010463,706.0,3.8468899521531097,-804.0,9.07177033492823,296.0,1.416267942583732,-1896.0,12.132596815275845
2438,3.1304347826086953,1301.0,10.347826086956522,1965.0,1741.0,5.565217391304348,19335.9375,88323.5294117645,708.0,12.439024390243903,-408.0,3.0,3.0,12505147.0,9.89010989010989,4.146341463414634,-926.0,-136.0,28.231707317073173,0.011322011322011348,0.01132201132201135,708.0,3.789473684210526,-792.0,9.148325358851674,284.0,1.3588516746411483,-1912.0,12.159308009362235
2439,3.1739130434782608,1303.0,10.326086956521738,1961.0,1746.0,5.510869565217392,19340.8203125,91928.57142857119,707.0,12.743902439024392,-418.0,3.0,3.0,12505307.0,9.894993894993895,3.536585365853659,-898.0,-116.0,27.378048780487806,0.010878010878010906,0.010878010878010906,707.0,3.789473684210526,-792.0,9.09090909090909,312.0,1.492822966507177,-1900.0,12.127303047506034
