,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4966,1262.0,2.25,2046.0,10.771739130434783,1834.0,4.554347826086956,51767.578125,707.0,91928.57142857119,-9.085365853658537,298.0,3.0,3.0,10489024.0,14.231990231990231,-0.3658536585365854,516.0,12.0,-15.731707317073171,0.010878010878010906,707.0,0.010878010878010906,-576.0,2.755980861244019,104.0,9.607655502392344,-2008.0,0.49760765550239233,11.909447846777905
4967,1260.0,2.2717391304347827,2044.0,10.793478260869565,1835.0,4.543478260869565,51772.4609375,707.0,91928.57142857119,-8.719512195121952,286.0,3.0,3.0,10489184.0,14.236874236874236,-0.5792682926829269,521.0,19.0,-15.884146341463417,0.010878010878010906,707.0,0.010878010878010906,-576.0,2.755980861244019,112.0,9.645933014354066,-2016.0,0.5358851674641149,11.92908908306107
4968,1259.0,2.282608695652174,2043.0,10.804347826086957,1836.0,4.532608695652174,51777.34375,707.0,91928.57142857119,-8.506097560975611,279.0,3.0,3.0,10489344.0,14.241758241758241,-0.6097560975609757,524.0,20.0,-15.975609756097562,0.010878010878010906,707.0,0.010878010878010906,-600.0,2.8708133971291865,136.0,9.511961722488039,-1988.0,0.6507177033492823,11.936866255112292
4969,1259.0,2.2717391304347827,2044.0,10.804347826086957,1832.0,4.576086956521739,51782.2265625,708.0,88323.5294117645,-8.231707317073171,270.0,3.0,3.0,10489504.0,14.246642246642246,-0.426829268292683,529.0,14.0,-16.128048780487806,0.01132201132201135,708.0,0.011322011322011348,-612.0,2.92822966507177,112.0,9.588516746411482,-2004.0,0.5358851674641149,11.951372408952325
4970,1265.0,2.3478260869565215,2037.0,10.739130434782608,1828.0,4.619565217391305,51787.109375,709.0,84990.56603773567,-7.896341463414635,259.0,3.0,3.0,10489664.0,14.25152625152625,-0.6097560975609757,531.0,20.0,-16.189024390243905,0.011766011766011792,709.0,0.01176601176601179,-608.0,2.909090909090909,128.0,9.531100478468899,-1992.0,0.6124401913875598,11.92399231078246
4971,1257.0,2.2717391304347827,2044.0,10.826086956521738,1829.0,4.608695652173913,51791.9921875,708.0,88323.5294117645,-8.079268292682928,265.0,3.0,3.0,10489824.0,14.256410256410257,-0.7621951219512196,533.0,25.0,-16.25,0.01132201132201135,708.0,0.011322011322011348,-584.0,2.7942583732057416,132.0,9.569377990430622,-2000.0,0.631578947368421,11.983531744910822
4972,1259.0,2.3369565217391304,2038.0,10.804347826086957,1827.0,4.630434782608695,51796.875,707.0,91928.57142857119,-7.835365853658537,257.0,3.0,3.0,10489984.0,14.261294261294262,-0.5182926829268293,536.0,17.0,-16.34146341463415,0.010878010878010906,707.0,0.010878010878010906,-600.0,2.8708133971291865,120.0,9.55023923444976,-1996.0,0.5741626794258373,11.984833082173544
4973,1265.0,2.358695652173913,2036.0,10.739130434782608,1831.0,4.58695652173913,51801.7578125,708.0,88323.5294117645,-7.560975609756098,248.0,3.0,3.0,10490144.0,14.266178266178267,-0.701219512195122,531.0,23.0,-16.189024390243905,0.01132201132201135,708.0,0.011322011322011348,-604.0,2.889952153110048,136.0,9.55023923444976,-1996.0,0.6507177033492823,11.913544300802483
4974,1264.0,2.4565217391304346,2027.0,10.75,1838.0,4.510869565217392,51806.640625,704.0,104755.81395348875,-7.5304878048780495,247.0,3.0,3.0,10490304.0,14.271062271062272,-0.8841463414634148,531.0,29.0,-16.189024390243905,0.009546009546009513,704.0,0.009546009546009511,-604.0,2.889952153110048,120.0,9.626794258373206,-2012.0,0.5741626794258373,11.91406493558034
4975,1262.0,2.3260869565217392,2039.0,10.771739130434783,1831.0,4.58695652173913,51811.5234375,708.0,88323.5294117645,-7.347560975609757,241.0,3.0,3.0,10490464.0,14.275946275946277,-0.5792682926829269,537.0,19.0,-16.371951219512198,0.01132201132201135,708.0,0.011322011322011348,-592.0,2.832535885167464,128.0,9.569377990430622,-2000.0,0.6124401913875598,11.936549524706276
