,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2638,2687.0,7.228260869565217,-4.717391304347826,1588.0,1.75,2092.0,30732.421875,712.0,76347.45762711852,-0.30487804878048785,10.0,3.0,3.0,4229604.0,2.862026862026862,-1.7682926829268295,-252.0,7.682926829268293,58.0,712.0,0.013098013098013117,0.013098013098013119,-0.3253588516746411,68.0,1220.0,-8.17224880382775,1708.0,5.837320574162679,8.807044675532435
2639,2686.0,7.173913043478261,-4.706521739130435,1593.0,1.858695652173913,2082.0,30737.3046875,713.0,73844.26229508186,-0.48780487804878053,16.0,3.0,3.0,4229764.0,2.866910866910867,-1.7378048780487807,-237.0,7.225609756097562,57.0,713.0,0.01354201354201356,0.013542013542013561,-0.24880382775119617,52.0,1220.0,-8.191387559808613,1712.0,5.837320574162679,8.779016161490143
2640,2686.0,7.326086956521739,-4.706521739130435,1579.0,1.7934782608695652,2088.0,30742.1875,716.0,67231.34328358203,-0.030487804878048783,1.0,3.0,3.0,4229924.0,2.871794871794872,-1.707317073170732,-230.0,7.01219512195122,56.0,716.0,0.014874014874014886,0.014874014874014888,-0.2679425837320574,56.0,1232.0,-8.095693779904305,1692.0,5.894736842105263,8.890414008787053
2641,2674.0,7.33695652173913,-4.576086956521739,1578.0,1.75,2092.0,30747.0703125,711.0,79026.31578947355,0.27439024390243905,-9.0,3.0,3.0,4230084.0,2.8766788766788767,-1.9207317073170733,-229.0,6.981707317073171,63.0,711.0,0.012654012654012677,0.012654012654012677,-0.36363636363636365,76.0,1248.0,-8.038277511961722,1680.0,5.971291866028708,8.822358122154117
2642,2677.0,7.380434782608695,-4.608695652173913,1574.0,1.7391304347826086,2093.0,30751.953125,711.0,79026.31578947355,0.09146341463414635,-3.0,3.0,3.0,4230244.0,2.8815628815628815,-2.3170731707317076,-236.0,7.195121951219513,76.0,711.0,0.012654012654012677,0.012654012654012677,-0.36363636363636365,76.0,1248.0,-7.923444976076555,1656.0,5.971291866028708,8.873300843761251
2643,2675.0,7.4021739130434785,-4.58695652173913,1572.0,1.7608695652173914,2091.0,30756.8359375,711.0,79026.31578947355,0.24390243902439027,-8.0,3.0,3.0,4230404.0,2.8864468864468864,-2.408536585365854,-238.0,7.25609756097561,79.0,711.0,0.012654012654012677,0.012654012654012677,-0.3062200956937799,64.0,1256.0,-7.980861244019138,1668.0,6.00956937799043,8.884425158499306
2644,2678.0,7.434782608695652,-4.619565217391305,1569.0,1.7391304347826086,2093.0,30761.71875,711.0,79026.31578947355,0.3658536585365854,-12.0,3.0,3.0,4230564.0,2.8913308913308913,-2.408536585365854,-241.0,7.347560975609757,79.0,711.0,0.012654012654012677,0.012654012654012677,-0.4019138755980861,84.0,1268.0,-7.961722488038277,1664.0,6.0669856459330145,8.924177827984046
2645,2684.0,7.489130434782608,-4.684782608695652,1564.0,1.717391304347826,2095.0,30766.6015625,712.0,76347.45762711852,0.4573170731707317,-15.0,3.0,3.0,4230724.0,2.896214896214896,-2.4695121951219514,-238.0,7.25609756097561,81.0,712.0,0.013098013098013117,0.013098013098013119,-0.42105263157894735,88.0,1260.0,-8.057416267942584,1684.0,6.028708133971292,8.999094157312387
2646,2688.0,7.413043478260869,-4.728260869565217,1571.0,1.7065217391304348,2096.0,30771.484375,712.0,76347.45762711852,0.426829268292683,-14.0,3.0,3.0,4230884.0,2.901098901098901,-2.530487804878049,-237.0,7.225609756097562,83.0,712.0,0.013098013098013117,0.013098013098013119,-0.36363636363636365,76.0,1260.0,-8.038277511961722,1680.0,6.028708133971292,8.956666841374217
2647,2681.0,7.423913043478261,-4.6521739130434785,1570.0,1.684782608695652,2098.0,30776.3671875,711.0,79026.31578947355,0.48780487804878053,-16.0,3.0,3.0,4231044.0,2.905982905982906,-2.804878048780488,-244.0,7.439024390243903,92.0,711.0,0.012654012654012677,0.012654012654012677,-0.3062200956937799,64.0,1252.0,-8.095693779904305,1692.0,5.990430622009569,8.92164219372713
2648,2687.0,7.369565217391304,-4.717391304347826,1575.0,1.7826086956521738,2089.0,30781.25,710.0,81899.99999999984,0.39634146341463417,-13.0,3.0,3.0,4231204.0,2.9108669108669107,-3.0487804878048785,-245.0,7.469512195121952,100.0,710.0,0.012210012210012234,0.012210012210012234,-0.3253588516746411,68.0,1252.0,-8.057416267942584,1684.0,5.990430622009569,8.929835719291535
