,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4901,1303.0,4.032608695652174,1882.0,10.326086956521738,1.0434782608695652,2157.0,62768.5546875,706.0,95840.42553191462,-2971.0,90.57926829268294,3.0,3.0,13.914529914529915,9160805.0,-744.0,-65.3658536585366,2144.0,22.682926829268293,0.010434010434010463,706.0,0.010434010434010463,-0.937799043062201,196.0,508.0,9.014354066985646,-1884.0,2.430622009569378,11.13457909428126
4902,1301.0,3.869565217391304,1897.0,10.347826086956522,1.065217391304348,2155.0,62773.4375,707.0,91928.57142857119,-2894.0,88.23170731707317,3.0,3.0,13.91941391941392,9160965.0,-740.0,-63.90243902439025,2096.0,22.5609756097561,0.010878010878010906,707.0,0.010878010878010906,-0.937799043062201,196.0,480.0,8.976076555023923,-1876.0,2.2966507177033493,11.09890660327763
4903,1305.0,3.8369565217391304,1900.0,10.304347826086957,1.141304347826087,2148.0,62778.3203125,709.0,84990.56603773567,-2810.0,85.67073170731707,3.0,3.0,13.924297924297925,9161125.0,-726.0,-62.53048780487806,2051.0,22.134146341463417,0.01176601176601179,709.0,0.011766011766011792,-0.937799043062201,196.0,464.0,9.033492822966506,-1888.0,2.2200956937799043,11.054609675835062
4904,1302.0,3.684782608695652,1914.0,10.33695652173913,1.1739130434782608,2145.0,62783.203125,707.0,91928.57142857119,-2732.0,83.29268292682927,3.0,3.0,13.92918192918193,9161285.0,-701.0,-61.4329268292683,2015.0,21.371951219512198,0.010878010878010906,707.0,0.010878010878010906,-0.8803827751196172,184.0,428.0,8.937799043062201,-1868.0,2.047846889952153,11.036682691792832
4905,1303.0,3.6304347826086953,1919.0,10.326086956521738,1.0108695652173914,2160.0,62788.0859375,706.0,95840.42553191462,-2647.0,80.70121951219512,3.0,3.0,13.934065934065934,9161445.0,-652.0,-59.81707317073171,1962.0,19.878048780487806,0.010434010434010463,706.0,0.010434010434010463,-0.937799043062201,196.0,396.0,9.014354066985646,-1884.0,1.894736842105263,10.992269366345887
4906,1295.0,3.4891304347826084,1932.0,10.41304347826087,0.9891304347826086,2162.0,62792.96875,706.0,95840.42553191462,-2562.0,78.10975609756099,3.0,3.0,13.93894993894994,9161605.0,-588.0,-58.44512195121952,1917.0,17.926829268292686,0.010434010434010463,706.0,0.010434010434010463,-0.8803827751196172,184.0,388.0,9.148325358851674,-1912.0,1.8564593301435406,11.026508272707673
4907,1294.0,3.467391304347826,1934.0,10.42391304347826,0.9782608695652174,2163.0,62797.8515625,706.0,95840.42553191462,-2484.0,75.73170731707317,3.0,3.0,13.943833943833944,9161765.0,-501.0,-56.92073170731708,1867.0,15.27439024390244,0.010434010434010463,706.0,0.010434010434010463,-0.9760765550239234,204.0,368.0,9.186602870813397,-1920.0,1.7607655502392343,11.028950989300188
4908,1290.0,3.391304347826087,1941.0,10.467391304347826,0.9130434782608695,2169.0,62802.734375,706.0,95840.42553191462,-2402.0,73.23170731707317,3.0,3.0,13.948717948717949,9161925.0,-410.0,-55.518292682926834,1821.0,12.500000000000002,0.010434010434010463,706.0,0.010434010434010463,-1.1483253588516746,240.0,348.0,9.224880382775119,-1928.0,1.6650717703349283,11.040872895342801
4909,1287.0,3.3260869565217392,1947.0,10.5,0.858695652173913,2174.0,62807.6171875,706.0,95840.42553191462,-2320.0,70.73170731707317,3.0,3.0,13.953601953601954,9162085.0,-299.0,-54.207317073170735,1778.0,9.115853658536587,0.010434010434010463,706.0,0.010434010434010463,-1.0909090909090908,228.0,344.0,9.263157894736842,-1936.0,1.645933014354067,11.047633803915046
4910,1283.0,3.3043478260869565,1949.0,10.543478260869565,0.8369565217391304,2176.0,62812.5,706.0,95840.42553191462,-2253.0,68.68902439024392,3.0,3.0,13.958485958485959,9162245.0,-171.0,-52.774390243902445,1731.0,5.213414634146342,0.010434010434010463,706.0,0.010434010434010463,-1.186602870813397,248.0,328.0,9.301435406698564,-1944.0,1.569377990430622,11.080800720727558
