,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4194,9.358695652173912,1704.0,5.967391304347826,1392.0,-0.8152173913043478,2328.0,26352.5390625,88323.5294117645,708.0,-17.682926829268293,580.0,3.0,3.0,5413822.0,10.461538461538462,-788.0,26.707317073170735,24.02439024390244,-876.0,0.01132201132201135,708.0,0.011322011322011348,636.0,-3.0430622009569377,4.133971291866029,1712.0,-864.0,8.191387559808613,11.12921932052334
4195,9.347826086956522,1703.0,5.978260869565217,1393.0,-0.9347826086956521,2339.0,26357.421875,95840.42553191462,706.0,-18.628048780487806,611.0,3.0,3.0,5413982.0,10.466422466422467,-808.0,26.58536585365854,24.634146341463417,-872.0,0.010434010434010463,706.0,0.010434010434010463,640.0,-3.062200956937799,4.114832535885167,1688.0,-860.0,8.076555023923445,11.135316524557323
4196,9.304347826086957,1702.0,5.989130434782608,1397.0,-0.858695652173913,2332.0,26362.3046875,91928.57142857119,707.0,-19.78658536585366,649.0,3.0,3.0,5414142.0,10.471306471306471,-820.0,27.25609756097561,25.000000000000004,-894.0,0.010878010878010906,707.0,0.010878010878010906,648.0,-3.1004784688995213,4.229665071770334,1684.0,-884.0,8.057416267942584,11.09855531394563
4197,9.130434782608695,1700.0,6.010869565217392,1413.0,-0.9456521739130435,2340.0,26367.1875,91928.57142857119,707.0,-20.457317073170735,671.0,3.0,3.0,5414302.0,10.476190476190476,-795.0,27.469512195121954,24.237804878048784,-901.0,0.010878010878010906,707.0,0.010878010878010906,676.0,-3.2344497607655502,4.15311004784689,1648.0,-868.0,7.885167464114832,10.972221756943936
4198,9.097826086956522,1695.0,6.065217391304348,1416.0,-1.0326086956521738,2348.0,26372.0703125,91928.57142857119,707.0,-20.701219512195124,679.0,3.0,3.0,5414462.0,10.481074481074481,-733.0,27.621951219512198,22.34756097560976,-906.0,0.010878010878010906,707.0,0.010878010878010906,676.0,-3.2344497607655502,4.287081339712919,1628.0,-896.0,7.789473684210526,10.982876773897804
4199,9.16304347826087,1686.0,6.163043478260869,1410.0,-0.967391304347826,2342.0,26376.953125,91928.57142857119,707.0,-20.30487804878049,666.0,3.0,3.0,5414622.0,10.485958485958486,-679.0,26.981707317073173,20.701219512195124,-885.0,0.010878010878010906,707.0,0.010878010878010906,656.0,-3.138755980861244,4.229665071770334,1680.0,-884.0,8.038277511961722,11.085139450415618
4200,9.42391304347826,1699.0,6.021739130434782,1386.0,-0.8478260869565217,2331.0,26381.8359375,91928.57142857119,707.0,-20.121951219512198,660.0,3.0,3.0,5414782.0,10.49084249084249,-636.0,27.073170731707318,19.390243902439025,-888.0,0.010878010878010906,707.0,0.010878010878010906,644.0,-3.0813397129186604,4.2105263157894735,1732.0,-880.0,8.287081339712918,11.215626967752321
4201,9.826086956521738,1702.0,5.989130434782608,1349.0,-0.9239130434782609,2338.0,26386.71875,88323.5294117645,708.0,-20.152439024390247,661.0,3.0,3.0,5414942.0,10.495726495726496,-634.0,27.378048780487806,19.32926829268293,-898.0,0.01132201132201135,708.0,0.011322011322011348,632.0,-3.0239234449760763,4.133971291866029,1804.0,-864.0,8.631578947368421,11.544491480956415
4202,9.967391304347826,1711.0,5.891304347826087,1336.0,-0.8913043478260869,2335.0,26391.6015625,91928.57142857119,707.0,-20.823170731707318,683.0,3.0,3.0,5415102.0,10.5006105006105,-673.0,27.378048780487806,20.51829268292683,-898.0,0.010878010878010906,707.0,0.010878010878010906,644.0,-3.0813397129186604,4.0,1864.0,-836.0,8.91866028708134,11.61252684703708
4203,10.097826086956522,1711.0,5.891304347826087,1324.0,-0.9347826086956521,2339.0,26396.484375,88323.5294117645,708.0,-20.853658536585368,684.0,3.0,3.0,5415262.0,10.505494505494505,-730.0,27.621951219512198,22.25609756097561,-906.0,0.01132201132201135,708.0,0.011322011322011348,644.0,-3.0813397129186604,4.038277511961723,1888.0,-844.0,9.033492822966506,11.72805939303916
