,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4198,1674.0,6.184782608695652,1684.0,6.293478260869565,2131.0,1.326086956521739,37910.15625,91928.57142857119,707.0,-4588.0,139.87804878048783,3.0,3.0,10.481074481074481,8376703.0,56.4329268292683,2622.0,-1851.0,-79.93902439024392,707.0,0.010878010878010906,0.010878010878010906,120.0,-0.5741626794258373,1004.0,4.440191387559809,-928.0,4.803827751196172,8.922886929302596
4199,1671.0,6.239130434782608,1679.0,6.326086956521739,2101.0,1.6521739130434783,37915.0390625,91928.57142857119,707.0,-4374.0,133.35365853658539,3.0,3.0,10.485958485958486,8376863.0,57.865853658536594,2554.0,-1898.0,-77.8658536585366,707.0,0.010878010878010906,0.010878010878010906,44.0,-0.21052631578947367,1032.0,4.325358851674641,-904.0,4.937799043062201,9.03746664738778
4200,1682.0,6.3478260869565215,1669.0,6.206521739130435,2085.0,1.826086956521739,37919.921875,88323.5294117645,708.0,-4172.0,127.19512195121952,3.0,3.0,10.49084249084249,8377023.0,58.50609756097562,2444.0,-1919.0,-74.51219512195122,708.0,0.01132201132201135,0.011322011322011348,28.0,-0.1339712918660287,1084.0,4.30622009569378,-900.0,5.186602870813397,9.0636858783457
4201,1682.0,6.33695652173913,1670.0,6.206521739130435,2072.0,1.967391304347826,37924.8046875,91928.57142857119,707.0,-3973.0,121.12804878048782,3.0,3.0,10.495726495726496,8377183.0,59.268292682926834,2365.0,-1944.0,-72.10365853658537,707.0,0.010878010878010906,0.010878010878010906,-8.0,0.03827751196172249,1056.0,4.248803827751196,-888.0,5.052631578947368,9.085623732090946
4202,1689.0,6.282608695652174,1675.0,6.130434782608695,2053.0,2.1739130434782608,37929.6875,91928.57142857119,707.0,-3767.0,114.84756097560977,3.0,3.0,10.5006105006105,8377343.0,59.75609756097562,2253.0,-1960.0,-68.68902439024392,707.0,0.010878010878010906,0.010878010878010906,-32.0,0.15311004784688995,1016.0,4.248803827751196,-888.0,4.861244019138756,9.043190839914182
4203,1689.0,6.1521739130434785,1687.0,6.130434782608695,2051.0,2.1956521739130435,37934.5703125,91928.57142857119,707.0,-3599.0,109.72560975609757,3.0,3.0,10.505494505494505,8377503.0,60.79268292682927,2145.0,-1994.0,-65.39634146341464,707.0,0.010878010878010906,0.010878010878010906,-56.0,0.2679425837320574,988.0,4.30622009569378,-900.0,4.7272727272727275,8.958368319563574
4204,1677.0,5.880434782608695,1712.0,6.260869565217391,2048.0,2.2282608695652173,37939.453125,88323.5294117645,708.0,-3387.0,103.26219512195122,3.0,3.0,10.51037851037851,8377663.0,60.73170731707317,2024.0,-1992.0,-61.707317073170735,708.0,0.01132201132201135,0.011322011322011348,-72.0,0.34449760765550236,924.0,4.363636363636363,-912.0,4.421052631578947,8.873733568685456
4205,1674.0,5.706521739130435,1728.0,6.293478260869565,2041.0,2.3043478260869565,37944.3359375,84990.56603773567,709.0,-3141.0,95.76219512195122,3.0,3.0,10.515262515262515,8377823.0,60.365853658536594,2003.0,-1980.0,-61.06707317073171,709.0,0.011766011766011792,0.01176601176601179,-96.0,0.4593301435406698,904.0,4.440191387559809,-928.0,4.325358851674641,8.802401824661137
4206,1669.0,5.619565217391304,1736.0,6.3478260869565215,2029.0,2.4347826086956523,37949.21875,88323.5294117645,708.0,-2971.0,90.57926829268294,3.0,3.0,10.52014652014652,8377983.0,59.45121951219513,1992.0,-1950.0,-60.73170731707317,708.0,0.01132201132201135,0.011322011322011348,-88.0,0.42105263157894735,912.0,4.516746411483253,-944.0,4.363636363636363,8.820576830024594
4207,1665.0,5.608695652173913,1737.0,6.391304347826087,2034.0,2.380434782608696,37954.1015625,81899.99999999984,710.0,-2826.0,86.15853658536587,3.0,3.0,10.525030525030525,8378143.0,58.35365853658537,1982.0,-1914.0,-60.426829268292686,710.0,0.012210012210012234,0.012210012210012234,-56.0,0.2679425837320574,888.0,4.555023923444976,-952.0,4.248803827751196,8.830215622481056
