,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2464,2010.0,5.3478260869565215,2.641304347826087,1761.0,10.5,1287.0,12021.484375,703.0,109865.85365853697,2.2256097560975614,-73.0,3.0,3.0,10848837.0,8.014652014652015,84.0,-0.701219512195122,-2.5609756097560976,23.0,0.00910200910200907,0.00910200910200907,703.0,-1884.0,9.014354066985646,0.3253588516746411,800.0,-68.0,3.827751196172249,12.075832580579183
2465,2013.0,5.326086956521739,2.608695652173913,1763.0,10.543478260869565,1283.0,12026.3671875,700.0,128700.00000000045,2.103658536585366,-69.0,3.0,3.0,10848997.0,8.01953601953602,85.0,-0.48780487804878053,-2.5914634146341466,16.0,0.007770007770007743,0.007770007770007743,700.0,-1900.0,9.09090909090909,0.3062200956937799,788.0,-64.0,3.7703349282296648,12.097000831261077
2466,2016.0,5.315217391304348,2.5760869565217392,1764.0,10.478260869565217,1289.0,12031.25,701.0,121743.24324324368,1.0670731707317074,-35.0,3.0,3.0,10849157.0,8.024420024420024,71.0,-0.15243902439024393,-2.164634146341464,5.0,0.008214008214008185,0.008214008214008185,701.0,-1868.0,8.937799043062201,0.2296650717703349,800.0,-48.0,3.827751196172249,12.028371077375658
2467,2017.0,5.369565217391304,2.5652173913043477,1759.0,10.521739130434783,1285.0,12036.1328125,701.0,121743.24324324368,1.6158536585365855,-53.0,3.0,3.0,10849317.0,8.02930402930403,43.0,0.1829268292682927,-1.3109756097560976,-6.0,0.008214008214008185,0.008214008214008185,701.0,-1880.0,8.995215311004785,0.28708133971291866,800.0,-60.0,3.827751196172249,12.087992604952706
2468,2018.0,5.4021739130434785,2.5543478260869565,1756.0,10.445652173913043,1292.0,12041.015625,701.0,121743.24324324368,1.0670731707317074,-35.0,3.0,3.0,10849477.0,8.034188034188034,49.0,1.3719512195121952,-1.4939024390243905,-45.0,0.008214008214008185,0.008214008214008185,701.0,-1864.0,8.91866028708134,0.28708133971291866,832.0,-60.0,3.9808612440191387,12.034110899512973
2469,2010.0,5.358695652173913,2.641304347826087,1760.0,10.41304347826087,1295.0,12045.8984375,703.0,109865.85365853697,0.6707317073170732,-22.0,3.0,3.0,10849637.0,8.039072039072039,31.0,1.3719512195121952,-0.9451219512195123,-45.0,0.00910200910200907,0.00910200910200907,703.0,-1864.0,8.91866028708134,0.42105263157894735,808.0,-88.0,3.866028708133971,12.005148155296702
2470,2004.0,5.304347826086956,2.7065217391304346,1765.0,10.402173913043478,1296.0,12050.78125,701.0,121743.24324324368,-0.2134146341463415,7.0,3.0,3.0,10849797.0,8.043956043956044,24.0,1.2195121951219514,-0.7317073170731708,-40.0,0.008214008214008185,0.008214008214008185,701.0,-1848.0,8.842105263157894,0.4401913875598086,780.0,-92.0,3.7320574162679425,11.98609977856439
2471,2003.0,5.293478260869565,2.717391304347826,1766.0,10.402173913043478,1296.0,12055.6640625,701.0,121743.24324324368,-0.12195121951219513,4.0,3.0,3.0,10849957.0,8.048840048840049,48.0,0.6707317073170732,-1.4634146341463417,-22.0,0.008214008214008185,0.008214008214008185,701.0,-1880.0,8.995215311004785,0.4593301435406698,784.0,-96.0,3.751196172248804,11.983753573753347
2472,2005.0,5.282608695652174,2.6956521739130435,1767.0,10.456521739130434,1291.0,12060.546875,700.0,128700.00000000045,0.0,0.0,3.0,3.0,10850117.0,8.053724053724054,51.0,1.1585365853658538,-1.5548780487804879,-38.0,0.007770007770007743,0.007770007770007743,700.0,-1864.0,8.91866028708134,0.42105263157894735,808.0,-88.0,3.866028708133971,12.021287042368193
2473,2006.0,5.33695652173913,2.684782608695652,1762.0,10.42391304347826,1294.0,12065.4296875,702.0,115500.00000000041,-0.3658536585365854,12.0,3.0,3.0,10850277.0,8.058608058608058,28.0,1.0670731707317074,-0.853658536585366,-35.0,0.008658008658008629,0.008658008658008627,702.0,-1864.0,8.91866028708134,0.34449760765550236,820.0,-72.0,3.923444976076555,12.014538098024605
