,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
3937,846.0,2.891304347826087,1987.0,15.293478260869565,2216.0,0.40217391304347827,29819.3359375,705.0,100099.99999999968,-22.225609756097562,729.0,3.0,3.0,14.207570207570207,14794273.0,-12.439024390243903,2840.0,408.0,-86.58536585365854,0.009990009990010023,0.009990009990010021,705.0,320.0,-1.5311004784688995,14.660287081339712,268.0,1.2822966507177034,-3064.0,15.569581304703755
3938,834.0,3.043478260869565,1973.0,15.42391304347826,2194.0,0.6413043478260869,29824.21875,706.0,95840.42553191462,-24.634146341463417,808.0,3.0,3.0,14.212454212454212,14794433.0,-13.201219512195124,2804.0,433.0,-85.48780487804879,0.010434010434010463,0.010434010434010463,706.0,288.0,-1.3779904306220094,14.832535885167463,288.0,1.3779904306220094,-3100.0,15.734393053553259
3939,826.0,3.1956521739130435,1959.0,15.51086956521739,2182.0,0.7717391304347826,29829.1015625,706.0,95840.42553191462,-26.951219512195124,884.0,3.0,3.0,14.217338217338217,14794593.0,-13.963414634146343,2742.0,458.0,-83.59756097560977,0.010434010434010463,0.010434010434010463,706.0,244.0,-1.1674641148325358,14.851674641148325,340.0,1.6267942583732056,-3104.0,15.85543593759776
3940,824.0,3.4130434782608696,1939.0,15.532608695652174,2171.0,0.8913043478260869,29833.984375,706.0,95840.42553191462,-29.573170731707318,970.0,3.0,3.0,14.222222222222221,14794753.0,-15.060975609756099,2671.0,494.0,-81.4329268292683,0.010434010434010463,0.010434010434010463,706.0,228.0,-1.0909090909090908,14.909090909090908,392.0,1.875598086124402,-3116.0,15.928126761085318
3941,827.0,3.6739130434782608,1915.0,15.5,2163.0,0.9782608695652174,29838.8671875,706.0,95840.42553191462,-31.3109756097561,1027.0,3.0,3.0,14.227106227106226,14794913.0,-16.615853658536587,2617.0,545.0,-79.78658536585367,0.010434010434010463,0.010434010434010463,706.0,192.0,-0.9186602870813396,14.77511961722488,432.0,2.0669856459330145,-3088.0,15.959468392774308
3942,837.0,3.782608695652174,1905.0,15.391304347826086,2151.0,1.108695652173913,29843.75,704.0,104755.81395348875,-33.50609756097561,1099.0,3.0,3.0,14.231990231990231,14795073.0,-18.04878048780488,2531.0,592.0,-77.16463414634147,0.009546009546009513,0.009546009546009511,704.0,160.0,-0.7655502392344498,14.62200956937799,472.0,2.2583732057416266,-3056.0,15.888032732877376
3943,855.0,3.967391304347826,1888.0,15.195652173913043,2135.0,1.2826086956521738,29848.6328125,706.0,95840.42553191462,-34.96951219512196,1147.0,3.0,3.0,14.236874236874236,14795233.0,-20.0609756097561,2422.0,658.0,-73.84146341463415,0.010434010434010463,0.010434010434010463,706.0,132.0,-0.631578947368421,14.411483253588516,504.0,2.4114832535885165,-3012.0,15.75731969017972
3944,883.0,4.054347826086956,1880.0,14.891304347826086,2123.0,1.4130434782608696,29853.515625,705.0,100099.99999999968,-36.493902439024396,1197.0,3.0,3.0,14.241758241758241,14795393.0,-21.585365853658537,2308.0,708.0,-70.3658536585366,0.009990009990010023,0.009990009990010021,705.0,124.0,-0.5933014354066986,13.894736842105262,544.0,2.602870813397129,-2904.0,15.497915129008021
3945,917.0,4.1521739130434785,1871.0,14.521739130434781,2115.0,1.5,29858.3984375,707.0,91928.57142857119,-37.65243902439025,1235.0,3.0,3.0,14.246642246642246,14795553.0,-23.445121951219516,2150.0,769.0,-65.54878048780489,0.010878010878010906,0.010878010878010906,707.0,92.0,-0.4401913875598086,13.39712918660287,576.0,2.755980861244019,-2800.0,15.177992475177984
3946,961.0,4.293478260869565,1858.0,14.043478260869565,2106.0,1.5978260869565217,29863.28125,707.0,91928.57142857119,-38.8109756097561,1273.0,3.0,3.0,14.25152625152625,14795713.0,-24.81707317073171,1964.0,814.0,-59.87804878048781,0.010878010878010906,0.010878010878010906,707.0,72.0,-0.34449760765550236,13.129186602870814,588.0,2.813397129186603,-2744.0,14.77180711504975
3947,1007.0,4.4021739130434785,1848.0,13.543478260869565,2083.0,1.8478260869565217,29868.1640625,708.0,88323.5294117645,-39.176829268292686,1285.0,3.0,3.0,14.256410256410257,14795873.0,-27.042682926829272,1750.0,887.0,-53.35365853658537,0.01132201132201135,0.011322011322011348,708.0,20.0,-0.09569377990430622,12.497607655502392,596.0,2.851674641148325,-2612.0,14.360341214990822
3948,1060.0,4.380434782608695,1850.0,12.967391304347826,2072.0,1.967391304347826,29873.046875,707.0,91928.57142857119,-39.237804878048784,1287.0,3.0,3.0,14.261294261294262,14796033.0,-27.865853658536587,1492.0,914.0,-45.487804878048784,0.010878010878010906,0.010878010878010906,707.0,0.0,0.0,11.866028708133971,592.0,2.832535885167464,-2480.0,13.82794542472551
3949,1120.0,4.380434782608695,1850.0,12.315217391304348,2060.0,2.0978260869565215,29877.9296875,705.0,100099.99999999968,-38.62804878048781,1267.0,3.0,3.0,14.266178266178267,14796193.0,-28.170731707317074,1250.0,924.0,-38.10975609756098,0.009990009990010023,0.009990009990010021,705.0,-52.0,0.24880382775119617,11.004784688995215,588.0,2.813397129186603,-2300.0,13.238340627544241
3950,1180.0,4.3478260869565215,1853.0,11.66304347826087,2054.0,2.1630434782608696,29882.8125,706.0,95840.42553191462,-37.25609756097561,1222.0,3.0,3.0,14.271062271062272,14796353.0,-27.865853658536587,953.0,914.0,-29.05487804878049,0.010434010434010463,0.010434010434010463,706.0,-64.0,0.3062200956937799,10.239234449760765,556.0,2.660287081339713,-2140.0,12.633642861307656
3951,1243.0,4.228260869565217,1864.0,10.978260869565217,2042.0,2.293478260869565,29887.6953125,707.0,91928.57142857119,-34.93902439024391,1146.0,3.0,3.0,14.275946275946277,14796513.0,-27.225609756097562,685.0,893.0,-20.884146341463417,0.010878010878010906,0.010878010878010906,707.0,-92.0,0.4401913875598086,9.531100478468899,540.0,2.5837320574162677,-1992.0,11.985843492821209
3952,1308.0,4.173913043478261,1869.0,10.271739130434783,2021.0,2.5217391304347827,29892.578125,707.0,91928.57142857119,-32.5,1066.0,3.0,3.0,14.280830280830282,14796673.0,-25.60975609756098,414.0,840.0,-12.621951219512196,0.010878010878010906,0.010878010878010906,707.0,-148.0,0.708133971291866,8.727272727272727,524.0,2.5071770334928227,-1824.0,11.370547176815592
