,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
7906,2087.0,6.271739130434782,1676.0,1.8043478260869565,2132.0,1.315217391304348,91586.9140625,711.0,79026.31578947355,-5089.0,155.15243902439025,3.0,3.0,187406.0,18.58852258852259,247.34756097560978,3173.0,-8113.0,-96.73780487804879,0.012654012654012677,0.012654012654012677,711.0,120.0,-0.5741626794258373,1008.0,-0.9760765550239234,204.0,4.822966507177033,6.6573402785287294
7907,2101.0,6.239130434782608,1679.0,1.6521739130434783,2104.0,1.6195652173913042,91591.796875,712.0,76347.45762711852,-4874.0,148.59756097560978,3.0,3.0,187566.0,18.593406593406595,245.18292682926833,3065.0,-8042.0,-93.44512195121952,0.013098013098013119,0.013098013098013117,712.0,48.0,-0.2296650717703349,1008.0,-1.1100478468899522,232.0,4.822966507177033,6.654278226416128
7908,2115.0,6.141304347826087,1688.0,1.5,2073.0,1.9565217391304348,91596.6796875,710.0,81899.99999999984,-4696.0,143.1707317073171,3.0,3.0,187726.0,18.5982905982906,242.22560975609758,2936.0,-7945.0,-89.51219512195122,0.012210012210012234,0.012210012210012234,710.0,16.0,-0.07655502392344497,1000.0,-1.1291866028708133,236.0,4.784688995215311,6.617673035766996
7909,2120.0,6.043478260869565,1697.0,1.4456521739130435,2055.0,2.152173913043478,91601.5625,713.0,73844.26229508186,-4487.0,136.7987804878049,3.0,3.0,187886.0,18.603174603174605,238.41463414634148,2819.0,-7820.0,-85.94512195121952,0.013542013542013561,0.01354201354201356,713.0,-36.0,0.17224880382775118,972.0,-1.2248803827751196,256.0,4.650717703349282,6.57612288887057
7910,2126.0,5.8478260869565215,1715.0,1.3804347826086956,2053.0,2.1739130434782608,91606.4453125,711.0,79026.31578947355,-4287.0,130.70121951219514,3.0,3.0,188046.0,18.60805860805861,233.81097560975613,2689.0,-7669.0,-81.98170731707317,0.012654012654012677,0.012654012654012677,711.0,-48.0,0.2296650717703349,928.0,-1.3971291866028708,292.0,4.440191387559809,6.389723628837952
7911,2145.0,5.728260869565217,1726.0,1.1739130434782608,2044.0,2.2717391304347827,91611.328125,712.0,76347.45762711852,-4088.0,124.63414634146342,3.0,3.0,188206.0,18.612942612942614,230.21341463414637,2585.0,-7551.0,-78.8109756097561,0.013098013098013119,0.013098013098013117,712.0,-48.0,0.2296650717703349,896.0,-1.588516746411483,332.0,4.287081339712919,6.273104741688044
7912,2148.0,5.663043478260869,1732.0,1.141304347826087,2047.0,2.2391304347826084,91616.2109375,712.0,76347.45762711852,-3881.0,118.32317073170732,3.0,3.0,188366.0,18.61782661782662,225.88414634146343,2518.0,-7409.0,-76.76829268292684,0.013098013098013119,0.013098013098013117,712.0,-44.0,0.21052631578947367,880.0,-1.569377990430622,328.0,4.2105263157894735,6.195671243296359
7913,2160.0,5.434782608695652,1753.0,1.0108695652173914,2048.0,2.2282608695652173,91621.09375,710.0,81899.99999999984,-3695.0,112.65243902439025,3.0,3.0,188526.0,18.622710622710624,221.40243902439028,2471.0,-7262.0,-75.33536585365854,0.012210012210012234,0.012210012210012234,710.0,-24.0,0.11483253588516745,816.0,-1.7416267942583732,364.0,3.9043062200956937,5.960190079561142
7914,2174.0,5.1521739130434785,1779.0,0.858695652173913,2042.0,2.293478260869565,91625.9765625,711.0,79026.31578947355,-3495.0,106.5548780487805,3.0,3.0,188686.0,18.62759462759463,216.82926829268294,2430.0,-7112.0,-74.08536585365854,0.012654012654012677,0.012654012654012677,711.0,-48.0,0.2296650717703349,740.0,-1.9138755980861244,400.0,3.54066985645933,5.704585592870828
7915,2175.0,4.880434782608695,1804.0,0.8478260869565217,2034.0,2.380434782608696,91630.859375,712.0,76347.45762711852,-3276.0,99.87804878048782,3.0,3.0,188846.0,18.632478632478634,212.22560975609758,2401.0,-6961.0,-73.20121951219512,0.013098013098013119,0.013098013098013117,712.0,-72.0,0.34449760765550236,700.0,-1.9904306220095693,416.0,3.3492822966507174,5.495809539574138
7916,2196.0,4.739130434782608,1817.0,0.6195652173913043,2030.0,2.4239130434782608,91635.7421875,713.0,73844.26229508186,-3063.0,93.38414634146342,3.0,3.0,189006.0,18.63736263736264,207.34756097560978,2422.0,-6801.0,-73.84146341463415,0.013542013542013561,0.01354201354201356,713.0,-72.0,0.34449760765550236,668.0,-2.200956937799043,460.0,3.1961722488038276,5.358971242582663
7917,2203.0,4.83695652173913,1808.0,0.5434782608695652,2034.0,2.380434782608696,91640.625,713.0,73844.26229508186,-2878.0,87.7439024390244,3.0,3.0,189166.0,18.642246642246644,202.07317073170734,2394.0,-6628.0,-72.98780487804879,0.013542013542013561,0.01354201354201356,713.0,-64.0,0.3062200956937799,696.0,-2.2200956937799043,464.0,3.3301435406698565,5.418301096052693
7918,2213.0,5.0,1793.0,0.43478260869565216,2027.0,2.4565217391304346,91645.5078125,713.0,73844.26229508186,-2721.0,82.95731707317074,3.0,3.0,189326.0,18.64713064713065,197.65243902439028,2354.0,-6483.0,-71.76829268292684,0.013542013542013561,0.01354201354201356,713.0,-84.0,0.4019138755980861,752.0,-2.2583732057416266,472.0,3.5980861244019136,5.587802338276168
7919,2217.0,5.195652173913043,1775.0,0.3913043478260869,2024.0,2.4891304347826084,91650.390625,714.0,71499.99999999991,-2564.0,78.17073170731707,3.0,3.0,189486.0,18.652014652014653,192.01219512195124,2253.0,-6298.0,-68.68902439024392,0.013986013986014003,0.013986013986014003,714.0,-92.0,0.4401913875598086,796.0,-2.373205741626794,496.0,3.8086124401913874,5.774399616087892
7920,2227.0,5.369565217391304,1759.0,0.2826086956521739,2018.0,2.5543478260869565,91655.2734375,712.0,76347.45762711852,-2409.0,73.44512195121952,3.0,3.0,189646.0,18.656898656898658,185.88414634146343,2129.0,-6097.0,-64.90853658536587,0.013098013098013119,0.013098013098013117,712.0,-120.0,0.5741626794258373,832.0,-2.449760765550239,512.0,3.9808612440191387,5.9528809088803305
7921,2224.0,5.434782608695652,1753.0,0.31521739130434784,2007.0,2.6739130434782608,91660.15625,712.0,76347.45762711852,-2244.0,68.41463414634147,3.0,3.0,189806.0,18.661782661782663,179.51219512195124,1969.0,-5888.0,-60.03048780487806,0.013098013098013119,0.013098013098013117,712.0,-152.0,0.7272727272727273,832.0,-2.5645933014354068,536.0,3.9808612440191387,6.065149212644699
