,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4197,1457.0,2.902173913043478,1986.0,8.652173913043478,1802.0,4.9021739130434785,40400.390625,84990.56603773567,709.0,-27.77439024390244,911.0,3.0,3.0,1700181.0,15.477411477411477,155.0,11.158536585365855,-4.725609756097562,-366.0,0.011766011766011792,709.0,0.01176601176601179,3.0813397129186604,-644.0,240.0,7.119617224880383,-1488.0,1.1483253588516746,10.359248810450698
4198,1465.0,2.8260869565217392,1993.0,8.565217391304348,1812.0,4.793478260869565,40405.2734375,91928.57142857119,707.0,-27.378048780487806,898.0,3.0,3.0,1700341.0,15.482295482295482,213.0,10.24390243902439,-6.4939024390243905,-336.0,0.010878010878010906,707.0,0.010878010878010906,2.985645933014354,-624.0,232.0,7.043062200956937,-1472.0,1.1100478468899522,10.21406629523981
4199,1476.0,2.8260869565217392,1993.0,8.445652173913043,1817.0,4.739130434782608,40410.15625,91928.57142857119,707.0,-26.55487804878049,871.0,3.0,3.0,1700501.0,15.487179487179487,280.0,9.603658536585368,-8.536585365853659,-315.0,0.010878010878010906,707.0,0.010878010878010906,3.004784688995215,-628.0,232.0,6.889952153110047,-1440.0,1.1100478468899522,10.088367826681738
4200,1479.0,2.782608695652174,1997.0,8.41304347826087,1825.0,4.6521739130434785,40415.0390625,91928.57142857119,707.0,-26.3109756097561,863.0,3.0,3.0,1700661.0,15.492063492063492,348.0,9.420731707317074,-10.609756097560977,-309.0,0.010878010878010906,707.0,0.010878010878010906,3.0239234449760763,-632.0,204.0,6.832535885167464,-1428.0,0.9760765550239234,10.00824329427643
4201,1485.0,2.760869565217391,1999.0,8.347826086956522,1828.0,4.619565217391305,40419.921875,100099.99999999968,705.0,-26.09756097560976,856.0,3.0,3.0,1700821.0,15.496947496947497,410.0,9.146341463414634,-12.500000000000002,-300.0,0.009990009990010023,705.0,0.009990009990010021,2.8708133971291865,-600.0,212.0,6.889952153110047,-1440.0,1.014354066985646,9.93221948669818
4202,1483.0,2.902173913043478,1986.0,8.369565217391305,1837.0,4.521739130434782,40424.8046875,100099.99999999968,705.0,-25.670731707317074,842.0,3.0,3.0,1700981.0,15.501831501831502,475.0,8.902439024390246,-14.481707317073171,-292.0,0.009990009990010023,705.0,0.009990009990010021,2.9473684210526314,-616.0,220.0,6.909090909090909,-1444.0,1.0526315789473684,9.945770966266092
4203,1480.0,2.7717391304347827,1998.0,8.402173913043478,1835.0,4.543478260869565,40429.6875,115500.00000000041,702.0,-25.792682926829272,846.0,3.0,3.0,1701141.0,15.506715506715507,549.0,8.871951219512196,-16.73780487804878,-291.0,0.008658008658008627,702.0,0.008658008658008629,2.889952153110048,-604.0,220.0,6.966507177033493,-1456.0,1.0526315789473684,9.945966970546708
4204,1471.0,2.75,2000.0,8.5,1840.0,4.489130434782608,40434.5703125,91928.57142857119,707.0,-25.853658536585368,848.0,3.0,3.0,1701301.0,15.511599511599512,615.0,8.597560975609756,-18.75,-282.0,0.010878010878010906,707.0,0.010878010878010906,2.755980861244019,-576.0,212.0,7.100478468899521,-1484.0,1.014354066985646,9.998239448047416
4205,1458.0,2.7391304347826084,2001.0,8.641304347826086,1839.0,4.5,40439.453125,91928.57142857119,707.0,-26.09756097560976,856.0,3.0,3.0,1701461.0,15.516483516483516,694.0,8.567073170731708,-21.158536585365855,-281.0,0.010878010878010906,707.0,0.010878010878010906,2.77511961722488,-580.0,200.0,7.23444976076555,-1512.0,0.9569377990430622,10.120522534459887
4206,1447.0,2.7282608695652173,2002.0,8.76086956521739,1837.0,4.521739130434782,40444.3359375,91928.57142857119,707.0,-26.34146341463415,864.0,3.0,3.0,1701621.0,15.521367521367521,757.0,8.384146341463415,-23.07926829268293,-275.0,0.010878010878010906,707.0,0.010878010878010906,2.77511961722488,-580.0,208.0,7.291866028708133,-1524.0,0.9952153110047847,10.229485210647612
4207,1436.0,2.6739130434782608,2007.0,8.880434782608695,1838.0,4.510869565217392,40449.21875,95840.42553191462,706.0,-27.34756097560976,897.0,3.0,3.0,1701781.0,15.526251526251526,811.0,8.414634146341465,-24.725609756097562,-276.0,0.010434010434010463,706.0,0.010434010434010463,2.6985645933014353,-564.0,196.0,7.425837320574162,-1552.0,0.937799043062201,10.31309251033142
4208,1430.0,2.684782608695652,2006.0,8.945652173913043,1834.0,4.554347826086956,40454.1015625,91928.57142857119,707.0,-27.865853658536587,914.0,3.0,3.0,1701941.0,15.531135531135531,860.0,8.475609756097562,-26.219512195121954,-278.0,0.010878010878010906,707.0,0.010878010878010906,2.813397129186603,-588.0,212.0,7.502392344497608,-1568.0,1.014354066985646,10.39109400369243
4209,1418.0,2.717391304347826,2003.0,9.076086956521738,1837.0,4.521739130434782,40458.984375,91928.57142857119,707.0,-28.689024390243905,941.0,3.0,3.0,1702101.0,15.536019536019536,889.0,9.115853658536587,-27.103658536585368,-299.0,0.010878010878010906,707.0,0.010878010878010906,2.832535885167464,-592.0,212.0,7.770334928229665,-1624.0,1.014354066985646,10.497890012140264
4210,1399.0,2.75,2000.0,9.282608695652174,1831.0,4.58695652173913,40463.8671875,88323.5294117645,708.0,-29.634146341463417,972.0,3.0,3.0,1702261.0,15.54090354090354,909.0,9.390243902439025,-27.713414634146343,-308.0,0.01132201132201135,708.0,0.011322011322011348,2.889952153110048,-604.0,240.0,7.961722488038277,-1664.0,1.1483253588516746,10.713052521523569
4211,1383.0,2.8369565217391304,1992.0,9.456521739130434,1810.0,4.815217391304348,40468.75,81899.99999999984,710.0,-30.853658536585368,1012.0,3.0,3.0,1702421.0,15.545787545787546,908.0,9.390243902439025,-27.682926829268297,-308.0,0.012210012210012234,710.0,0.012210012210012234,3.004784688995215,-628.0,236.0,8.191387559808613,-1712.0,1.1291866028708133,10.984554803650648
4212,1358.0,2.858695652173913,1990.0,9.728260869565217,1807.0,4.8478260869565215,40473.6328125,88323.5294117645,708.0,-32.13414634146342,1054.0,3.0,3.0,1702581.0,15.55067155067155,882.0,9.146341463414634,-26.89024390243903,-300.0,0.01132201132201135,708.0,0.011322011322011348,3.062200956937799,-640.0,268.0,8.421052631578947,-1760.0,1.2822966507177034,11.238888652684837
4213,1345.0,2.9782608695652173,1979.0,9.869565217391305,1804.0,4.880434782608695,40478.515625,81899.99999999984,710.0,-33.47560975609756,1098.0,3.0,3.0,1702741.0,15.555555555555555,845.0,9.176829268292684,-25.762195121951223,-301.0,0.012210012210012234,710.0,0.012210012210012234,3.004784688995215,-628.0,280.0,8.669856459330143,-1812.0,1.339712918660287,11.40600714776299
4214,1327.0,2.9782608695652173,1979.0,10.065217391304348,1808.0,4.83695652173913,40483.3984375,88323.5294117645,708.0,-34.51219512195122,1132.0,3.0,3.0,1702901.0,15.56043956043956,806.0,9.298780487804878,-24.573170731707318,-305.0,0.01132201132201135,708.0,0.011322011322011348,3.0813397129186604,-644.0,292.0,8.842105263157894,-1848.0,1.3971291866028708,11.557455919647436
4215,1312.0,3.0760869565217392,1970.0,10.228260869565217,1804.0,4.880434782608695,40488.28125,95840.42553191462,706.0,-35.88414634146342,1177.0,3.0,3.0,1703061.0,15.565323565323565,754.0,8.719512195121952,-22.98780487804878,-286.0,0.010434010434010463,706.0,0.010434010434010463,3.177033492822966,-664.0,304.0,8.995215311004785,-1880.0,1.4545454545454546,11.743009624762255
4216,1301.0,3.0760869565217392,1970.0,10.347826086956522,1801.0,4.913043478260869,40493.1640625,88323.5294117645,708.0,-37.07317073170732,1216.0,3.0,3.0,1703221.0,15.57020757020757,709.0,8.048780487804878,-21.615853658536587,-264.0,0.01132201132201135,708.0,0.011322011322011348,3.177033492822966,-664.0,296.0,9.186602870813397,-1920.0,1.416267942583732,11.860767762217703
4217,1297.0,3.108695652173913,1967.0,10.391304347826086,1799.0,4.934782608695652,40498.046875,95840.42553191462,706.0,-37.926829268292686,1244.0,3.0,3.0,1703381.0,15.575091575091575,653.0,7.500000000000001,-19.908536585365855,-246.0,0.010434010434010463,706.0,0.010434010434010463,3.2344497607655502,-676.0,312.0,9.205741626794259,-1924.0,1.492822966507177,11.916176991891291
