,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_UNCAL,Accel_LN_Z_CAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
4329,1289.0,4.304347826086956,1857.0,10.478260869565217,1872.0,4.141304347826087,33002.9296875,710.0,81899.99999999984,-81.0,2.4695121951219514,3.0,3.0,16.12210012210012,1034475.0,635.0,-5.945121951219512,195.0,-19.35975609756098,0.012210012210012234,710.0,0.012210012210012234,-464.0,2.2200956937799043,9.205741626794259,580.0,2.77511961722488,-1924.0,12.06116755376213
4330,1294.0,4.315217391304348,1856.0,10.42391304347826,1886.0,3.9891304347826084,33007.8125,709.0,84990.56603773567,-70.0,2.1341463414634148,3.0,3.0,16.126984126984127,1034635.0,659.0,-5.945121951219512,195.0,-20.09146341463415,0.01176601176601179,709.0,0.011766011766011792,-440.0,2.1052631578947367,9.24401913875598,588.0,2.813397129186603,-1932.0,11.966295412445767
4331,1297.0,4.304347826086956,1857.0,10.391304347826086,1893.0,3.9130434782608696,33012.6953125,710.0,81899.99999999984,-65.0,1.981707317073171,3.0,3.0,16.13186813186813,1034795.0,692.0,-5.670731707317073,186.0,-21.09756097560976,0.012210012210012234,710.0,0.012210012210012234,-436.0,2.0861244019138754,9.07177033492823,584.0,2.7942583732057416,-1896.0,11.908758353407325
4332,1301.0,4.413043478260869,1847.0,10.347826086956522,1891.0,3.934782608695652,33017.578125,711.0,79026.31578947355,-69.0,2.103658536585366,3.0,3.0,16.136752136752136,1034955.0,712.0,-5.5182926829268295,181.0,-21.707317073170735,0.012654012654012677,711.0,0.012654012654012677,-432.0,2.0669856459330145,9.110047846889952,588.0,2.813397129186603,-1904.0,11.917842575089354
4333,1301.0,4.413043478260869,1847.0,10.347826086956522,1899.0,3.8478260869565215,33022.4609375,708.0,88323.5294117645,-78.0,2.378048780487805,3.0,3.0,16.14163614163614,1035115.0,742.0,-5.426829268292684,178.0,-22.621951219512198,0.011322011322011348,708.0,0.01132201132201135,-428.0,2.047846889952153,9.07177033492823,608.0,2.909090909090909,-1896.0,11.889416430690861
4334,1298.0,4.456521739130435,1843.0,10.380434782608695,1900.0,3.8369565217391304,33027.34375,710.0,81899.99999999984,-69.0,2.103658536585366,3.0,3.0,16.146520146520146,1035275.0,786.0,-5.365853658536586,176.0,-23.963414634146343,0.012210012210012234,710.0,0.012210012210012234,-436.0,2.0861244019138754,9.129186602870814,628.0,3.004784688995215,-1908.0,11.930475583020613
4335,1299.0,4.554347826086956,1834.0,10.369565217391305,1898.0,3.858695652173913,33032.2265625,710.0,81899.99999999984,-54.0,1.6463414634146343,3.0,3.0,16.15140415140415,1035435.0,810.0,-5.091463414634147,167.0,-24.695121951219516,0.012210012210012234,710.0,0.012210012210012234,-420.0,2.0095693779904304,9.052631578947368,640.0,3.062200956937799,-1892.0,11.96492787503629
4336,1297.0,4.6521739130434785,1825.0,10.391304347826086,1900.0,3.8369565217391304,33037.109375,708.0,88323.5294117645,-60.0,1.829268292682927,3.0,3.0,16.156288156288156,1035595.0,808.0,-4.75609756097561,156.0,-24.634146341463417,0.011322011322011348,708.0,0.01132201132201135,-436.0,2.0861244019138754,9.09090909090909,656.0,3.138755980861244,-1900.0,12.014331588401747
4337,1298.0,4.760869565217392,1815.0,10.380434782608695,1902.0,3.8152173913043477,33041.9921875,709.0,84990.56603773567,-53.0,1.6158536585365855,3.0,3.0,16.16117216117216,1035755.0,798.0,-4.359756097560976,143.0,-24.32926829268293,0.01176601176601179,709.0,0.011766011766011792,-420.0,2.0095693779904304,9.167464114832535,680.0,3.253588516746411,-1916.0,12.040564315509338
4338,1298.0,4.793478260869565,1812.0,10.380434782608695,1905.0,3.782608695652174,33046.875,711.0,79026.31578947355,-44.0,1.3414634146341464,3.0,3.0,16.166056166056165,1035915.0,769.0,-4.298780487804878,141.0,-23.445121951219516,0.012654012654012677,711.0,0.012654012654012677,-416.0,1.9904306220095693,9.07177033492823,696.0,3.3301435406698565,-1896.0,12.04321338588024
4339,1298.0,4.934782608695652,1799.0,10.380434782608695,1902.0,3.8152173913043477,33051.7578125,709.0,84990.56603773567,-46.0,1.402439024390244,3.0,3.0,16.17094017094017,1036075.0,731.0,-4.359756097560976,143.0,-22.28658536585366,0.01176601176601179,709.0,0.011766011766011792,-412.0,1.971291866028708,9.052631578947368,708.0,3.38755980861244,-1892.0,12.110383537030884
