,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Y_UNCAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
4091,2387.0,3.793478260869565,-1.4565217391304348,1904.0,2.9782608695652173,1979.0,19965.8203125,88323.5294117645,708.0,4852.0,-147.9268292682927,3.0,3.0,14.95970695970696,27475.0,-110.82317073170732,-1644.0,50.1219512195122,3635.0,0.01132201132201135,708.0,0.011322011322011348,-184.0,0.8803827751196172,476.0,-4.516746411483253,944.0,2.277511961722488,5.03805227239981
4092,2395.0,3.793478260869565,-1.5434782608695652,1904.0,2.8152173913043477,1994.0,19970.703125,84990.56603773567,709.0,5199.0,-158.50609756097563,3.0,3.0,14.964590964590965,27635.0,-114.20731707317074,-1701.0,51.85975609756098,3746.0,0.011766011766011792,709.0,0.01176601176601179,-168.0,0.8038277511961722,468.0,-4.497607655502392,940.0,2.2392344497607652,4.969733535891977
4093,2388.0,3.8043478260869565,-1.467391304347826,1903.0,2.630434782608696,2011.0,19975.5859375,81899.99999999984,710.0,5718.0,-174.32926829268294,3.0,3.0,14.96947496947497,27795.0,-114.78658536585367,-1832.0,55.85365853658537,3765.0,0.012210012210012234,710.0,0.012210012210012234,-128.0,0.6124401913875598,484.0,-4.535885167464115,948.0,2.3157894736842106,4.852369191177215
4094,2389.0,3.9130434782608696,-1.4782608695652173,1893.0,2.5869565217391304,2015.0,19980.46875,104755.81395348875,704.0,5758.0,-175.5487804878049,3.0,3.0,14.974358974358974,27955.0,-117.40853658536587,-1865.0,56.85975609756098,3851.0,0.009546009546009513,704.0,0.009546009546009511,-140.0,0.6698564593301435,476.0,-4.516746411483253,944.0,2.277511961722488,4.918283085245934
4095,2374.0,4.0978260869565215,-1.315217391304348,1876.0,2.467391304347826,2026.0,19985.3515625,95840.42553191462,706.0,5905.0,-180.03048780487808,3.0,3.0,14.97924297924298,28115.0,-119.60365853658537,-1847.0,56.310975609756106,3923.0,0.010434010434010463,706.0,0.010434010434010463,-108.0,0.5167464114832536,480.0,-4.30622009569378,900.0,2.2966507177033493,4.960846225605272
4096,2373.0,4.032608695652174,-1.3043478260869565,1882.0,2.402173913043478,2032.0,19990.234375,95840.42553191462,706.0,6093.0,-185.76219512195124,3.0,3.0,14.984126984126984,28275.0,-122.50000000000001,-1902.0,57.987804878048784,4018.0,0.010434010434010463,706.0,0.010434010434010463,-76.0,0.36363636363636365,492.0,-4.095693779904306,856.0,2.354066985645933,4.871724094422211
4097,2362.0,4.08695652173913,-1.184782608695652,1877.0,2.141304347826087,2056.0,19995.1171875,84990.56603773567,709.0,6319.0,-192.65243902439025,3.0,3.0,14.989010989010989,28435.0,-124.23780487804879,-1865.0,56.85975609756098,4075.0,0.011766011766011792,709.0,0.01176601176601179,-12.0,0.057416267942583726,512.0,-4.114832535885167,860.0,2.449760765550239,4.763623384617279
4098,2346.0,4.065217391304348,-1.0108695652173914,1879.0,2.108695652173913,2059.0,20000.0,88323.5294117645,708.0,6514.0,-198.59756097560978,3.0,3.0,14.993894993894994,28595.0,-125.18292682926831,-1782.0,54.32926829268293,4106.0,0.01132201132201135,708.0,0.011322011322011348,0.0,0.0,508.0,-4.057416267942584,848.0,2.430622009569378,4.689823778133171
4099,2337.0,4.054347826086956,-0.9130434782608695,1880.0,2.0652173913043477,2063.0,20004.8828125,84990.56603773567,709.0,6708.0,-204.51219512195124,3.0,3.0,14.998778998778999,28755.0,-126.43292682926831,-1731.0,52.774390243902445,4147.0,0.011766011766011792,709.0,0.01176601176601179,-8.0,0.03827751196172249,524.0,-3.7320574162679425,780.0,2.5071770334928227,4.6407442895980235
4100,2331.0,4.141304347826087,-0.8478260869565217,1872.0,2.0978260869565215,2060.0,20009.765625,84990.56603773567,709.0,6924.0,-211.09756097560978,3.0,3.0,15.003663003663004,28915.0,-127.68292682926831,-1717.0,52.34756097560976,4188.0,0.011766011766011792,709.0,0.01176601176601179,-16.0,0.07655502392344497,516.0,-3.8086124401913874,796.0,2.4688995215311005,4.719119098535506
4101,2313.0,4.206521739130435,-0.6521739130434783,1866.0,2.2065217391304346,2050.0,20014.6484375,81899.99999999984,710.0,7234.0,-220.5487804878049,3.0,3.0,15.008547008547009,29075.0,-129.14634146341464,-1775.0,54.115853658536594,4236.0,0.012210012210012234,710.0,0.012210012210012234,-20.0,0.09569377990430622,572.0,-3.4449760765550237,720.0,2.736842105263158,4.794673517549091
4102,2304.0,4.467391304347826,-0.5543478260869565,1842.0,2.0543478260869565,2064.0,20019.53125,81899.99999999984,710.0,7397.0,-225.51829268292684,3.0,3.0,15.013431013431013,29235.0,-129.2987804878049,-1782.0,54.32926829268293,4241.0,0.012210012210012234,710.0,0.012210012210012234,16.0,-0.07655502392344497,632.0,-3.3684210526315788,704.0,3.0239234449760763,4.948255406605252
4103,2278.0,4.826086956521739,-0.2717391304347826,1809.0,2.130434782608696,2057.0,20024.4140625,84990.56603773567,709.0,7630.0,-232.62195121951223,3.0,3.0,15.018315018315018,29395.0,-133.56707317073173,-1834.0,55.91463414634147,4381.0,0.011766011766011792,709.0,0.01176601176601179,-28.0,0.1339712918660287,744.0,-2.832535885167464,592.0,3.5598086124401913,5.282396220454092
4104,2256.0,5.228260869565217,-0.03260869565217391,1772.0,1.9565217391304348,2073.0,20029.296875,84990.56603773567,709.0,7859.0,-239.60365853658539,3.0,3.0,15.023199023199023,29555.0,-134.72560975609758,-1903.0,58.018292682926834,4419.0,0.011766011766011792,709.0,0.01176601176601179,44.0,-0.21052631578947367,828.0,-2.813397129186603,588.0,3.9617224880382773,5.582450390549741
4105,2265.0,5.684782608695652,-0.13043478260869565,1730.0,1.9782608695652173,2071.0,20034.1796875,81899.99999999984,710.0,8061.0,-245.76219512195124,3.0,3.0,15.028083028083028,29715.0,-136.70731707317074,-2045.0,62.34756097560976,4484.0,0.012210012210012234,710.0,0.012210012210012234,40.0,-0.19138755980861244,912.0,-2.8708133971291865,600.0,4.363636363636363,6.020571618102027
4106,2262.0,6.065217391304348,-0.09782608695652173,1695.0,1.8478260869565217,2083.0,20039.0625,81899.99999999984,710.0,8227.0,-250.82317073170734,3.0,3.0,15.032967032967033,29875.0,-136.6768292682927,-2261.0,68.9329268292683,4483.0,0.012210012210012234,710.0,0.012210012210012234,44.0,-0.21052631578947367,996.0,-2.813397129186603,588.0,4.765550239234449,6.3412059732125865
4107,2250.0,6.184782608695652,0.03260869565217391,1684.0,1.9239130434782608,2076.0,20043.9453125,88323.5294117645,708.0,8386.0,-255.6707317073171,3.0,3.0,15.037851037851038,30035.0,-136.40243902439025,-2568.0,78.29268292682927,4474.0,0.01132201132201135,708.0,0.011322011322011348,24.0,-0.11483253588516745,1024.0,-2.6220095693779903,548.0,4.899521531100478,6.477193886454389
4108,2225.0,6.271739130434782,0.30434782608695654,1676.0,2.1847826086956523,2052.0,20048.828125,88323.5294117645,708.0,8601.0,-262.2256097560976,3.0,3.0,15.042735042735043,30195.0,-138.2317073170732,-2862.0,87.25609756097562,4534.0,0.01132201132201135,708.0,0.011322011322011348,-28.0,0.1339712918660287,1024.0,-2.7942583732057416,584.0,4.899521531100478,6.6483542600202705
4109,2226.0,6.293478260869565,0.2934782608695652,1674.0,2.3152173913043477,2040.0,20053.7109375,81899.99999999984,710.0,8850.0,-269.81707317073176,3.0,3.0,15.047619047619047,30355.0,-141.7378048780488,-3166.0,96.52439024390245,4649.0,0.012210012210012234,710.0,0.012210012210012234,-60.0,0.28708133971291866,1028.0,-2.602870813397129,544.0,4.918660287081339,6.7122447570569825
4110,2217.0,6.358695652173913,0.3913043478260869,1668.0,2.1739130434782608,2053.0,20058.59375,84990.56603773567,709.0,9050.0,-275.9146341463415,3.0,3.0,15.052503052503052,30515.0,-141.4939024390244,-3413.0,104.0548780487805,4641.0,0.011766011766011792,709.0,0.01176601176601179,-12.0,0.057416267942583726,1036.0,-2.354066985645933,492.0,4.956937799043062,6.7314209057381
4111,2198.0,6.532608695652174,0.5978260869565217,1652.0,1.891304347826087,2079.0,20063.4765625,88323.5294117645,708.0,9266.0,-282.5,3.0,3.0,15.057387057387057,30675.0,-142.07317073170734,-3508.0,106.95121951219514,4660.0,0.01132201132201135,708.0,0.011322011322011348,36.0,-0.17224880382775118,1060.0,-2.1818181818181817,456.0,5.071770334928229,6.827108065415546
4112,2185.0,6.619565217391304,0.7391304347826086,1644.0,1.7065217391304348,2096.0,20068.359375,91928.57142857119,707.0,9441.0,-287.8353658536586,3.0,3.0,15.062271062271062,30835.0,-142.89634146341464,-3519.0,107.28658536585367,4687.0,0.010878010878010906,707.0,0.010878010878010906,100.0,-0.4784688995215311,1096.0,-1.971291866028708,412.0,5.244019138755981,6.8758398696481775
4113,2172.0,6.695652173913043,0.8804347826086957,1637.0,1.5217391304347825,2113.0,20073.2421875,84990.56603773567,709.0,9593.0,-292.469512195122,3.0,3.0,15.067155067155067,30995.0,-142.77439024390245,-3573.0,108.9329268292683,4683.0,0.011766011766011792,709.0,0.01176601176601179,132.0,-0.631578947368421,1136.0,-1.9330143540669855,404.0,5.435406698564593,6.922616082201156
4114,2171.0,6.663043478260869,0.8913043478260869,1640.0,1.5217391304347825,2113.0,20078.125,84990.56603773567,709.0,9760.0,-297.5609756097561,3.0,3.0,15.072039072039072,31155.0,-141.00609756097563,-3665.0,111.73780487804879,4625.0,0.011766011766011792,709.0,0.01176601176601179,116.0,-0.5550239234449761,1112.0,-1.9330143540669855,404.0,5.320574162679426,6.892478640862429
