,Accel_LN_X_CAL,Accel_LN_X_UNCAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_UNCAL,Timestamp_CAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_UNCAL,Accel_WR_Y_CAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
3776,8.858695652173912,2001.0,1438.0,2.7391304347826084,7.3478260869565215,1577.0,72006.8359375,88323.5294117645,708.0,-1135.0,34.60365853658537,3.0,3.0,9896930.0,9.421245421245422,1151.0,-30.0609756097561,986.0,-35.09146341463415,708.0,0.01132201132201135,0.011322011322011348,5.665071770334928,-1184.0,1596.0,0.3062200956937799,-64.0,7.636363636363636,11.830886374264445
3777,8.793478260869565,2014.0,1444.0,2.5978260869565215,7.326086956521739,1579.0,72011.71875,84990.56603773567,709.0,-1111.0,33.8719512195122,3.0,3.0,9897090.0,9.426129426129426,1176.0,-31.89024390243903,1046.0,-35.85365853658537,709.0,0.011766011766011792,0.01176601176601179,5.607655502392344,-1172.0,1596.0,0.11483253588516745,-24.0,7.636363636363636,11.736503329227808
3778,8.728260869565217,2025.0,1450.0,2.4782608695652173,7.260869565217391,1585.0,72016.6015625,81899.99999999984,710.0,-1068.0,32.5609756097561,3.0,3.0,9897250.0,9.431013431013431,1190.0,-33.109756097560975,1086.0,-36.28048780487805,710.0,0.012210012210012234,0.012210012210012234,5.588516746411483,-1168.0,1548.0,0.057416267942583726,-12.0,7.4066985645933014,11.620866645302392
3779,8.576086956521738,2035.0,1464.0,2.369565217391304,7.163043478260869,1594.0,72021.484375,95840.42553191462,706.0,-1055.0,32.16463414634146,3.0,3.0,9897410.0,9.435897435897436,1225.0,-33.50609756097561,1099.0,-37.34756097560976,706.0,0.010434010434010463,0.010434010434010463,5.473684210526316,-1144.0,1524.0,-0.057416267942583726,12.0,7.291866028708133,11.422490913839615
3780,8.543478260869565,2043.0,1467.0,2.282608695652174,7.108695652173913,1599.0,72026.3671875,84990.56603773567,709.0,-1053.0,32.10365853658537,3.0,3.0,9897570.0,9.440781440781441,1265.0,-34.237804878048784,1123.0,-38.56707317073171,709.0,0.011766011766011792,0.01176601176601179,5.3971291866028706,-1128.0,1540.0,-0.19138755980861244,40.0,7.368421052631579,11.346139304920156
3781,8.554347826086957,2049.0,1466.0,2.217391304347826,7.08695652173913,1601.0,72031.25,88323.5294117645,708.0,-1028.0,31.34146341463415,3.0,3.0,9897730.0,9.445665445665446,1285.0,-35.0,1148.0,-39.176829268292686,708.0,0.01132201132201135,0.011322011322011348,5.511961722488038,-1152.0,1544.0,-0.2296650717703349,48.0,7.38755980861244,11.327781939430896
3782,8.576086956521738,2059.0,1464.0,2.108695652173913,7.054347826086956,1604.0,72036.1328125,88323.5294117645,708.0,-1005.0,30.64024390243903,3.0,3.0,9897890.0,9.45054945054945,1315.0,-36.3109756097561,1191.0,-40.09146341463415,708.0,0.01132201132201135,0.011322011322011348,5.282296650717703,-1104.0,1552.0,-0.28708133971291866,60.0,7.425837320574162,11.303083123233998
3783,8.641304347826086,2056.0,1458.0,2.141304347826087,7.021739130434782,1607.0,72041.015625,91928.57142857119,707.0,-972.0,29.634146341463417,3.0,3.0,9898050.0,9.455433455433456,1330.0,-37.804878048780495,1240.0,-40.54878048780488,707.0,0.010878010878010906,0.010878010878010906,5.3971291866028706,-1128.0,1548.0,-0.3253588516746411,68.0,7.4066985645933014,11.3385248404568
3784,8.576086956521738,2065.0,1464.0,2.043478260869565,7.0,1609.0,72045.8984375,95840.42553191462,706.0,-931.0,28.384146341463417,3.0,3.0,9898210.0,9.46031746031746,1353.0,-38.71951219512196,1270.0,-41.25000000000001,706.0,0.010434010434010463,0.010434010434010463,5.339712918660287,-1116.0,1544.0,-0.4401913875598086,92.0,7.38755980861244,11.257223054042626
3785,8.73913043478261,2078.0,1449.0,1.9021739130434783,6.923913043478261,1616.0,72050.78125,88323.5294117645,708.0,-895.0,27.28658536585366,3.0,3.0,9898370.0,9.465201465201465,1386.0,-38.56707317073171,1265.0,-42.25609756097561,708.0,0.01132201132201135,0.011322011322011348,5.244019138755981,-1096.0,1556.0,-0.5167464114832536,108.0,7.444976076555023,11.310669219160076
