,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_UNCAL,GSR_Skin_Resistance_CAL,Gyro_Z_UNCAL,Gyro_Z_CAL,GSR_Range_UNCAL,GSR_Range_CAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_UNCAL,Gyro_X_CAL,Gyro_Y_UNCAL,Gyro_Y_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_CAL,Accel_WR_Z_UNCAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_CAL,Accel_WR_X_UNCAL,Resultant_Accel
4568,1272.0,10.5,1287.0,10.66304347826087,3.9456521739130435,1890.0,36972.65625,707.0,91928.57142857119,-5965.0,181.859756097561,3.0,3.0,11.291819291819293,4542613.0,1296.0,-51.3109756097561,1683.0,-39.51219512195122,707.0,0.010878010878010906,0.010878010878010906,2.1052631578947367,-440.0,9.358851674641148,1976.0,9.454545454545455,-1956.0,15.476390641773888
4569,1282.0,10.608695652173912,1277.0,10.554347826086957,3.9782608695652173,1887.0,36977.5390625,710.0,81899.99999999984,-6094.0,185.7926829268293,3.0,3.0,11.296703296703297,4542773.0,1324.0,-50.97560975609757,1672.0,-40.36585365853659,710.0,0.012210012210012234,0.012210012210012234,2.0861244019138754,-436.0,9.167464114832535,2004.0,9.588516746411482,-1916.0,15.484354717610739
4570,1290.0,10.717391304347826,1267.0,10.467391304347826,3.891304347826087,1895.0,36982.421875,711.0,79026.31578947355,-6217.0,189.5426829268293,3.0,3.0,11.301587301587302,4542933.0,1364.0,-49.90853658536586,1637.0,-41.58536585365854,711.0,0.012654012654012677,0.012654012654012677,2.0861244019138754,-436.0,9.129186602870814,2020.0,9.665071770334928,-1908.0,15.478081490167218
4571,1291.0,10.847826086956522,1255.0,10.456521739130434,3.8152173913043477,1902.0,36987.3046875,709.0,84990.56603773567,-6313.0,192.46951219512198,3.0,3.0,11.306471306471307,4543093.0,1411.0,-48.10975609756098,1578.0,-43.018292682926834,709.0,0.011766011766011792,0.01176601176601179,2.0095693779904304,-420.0,9.110047846889952,2032.0,9.722488038277511,-1904.0,15.542524294228173
4572,1286.0,10.91304347826087,1249.0,10.51086956521739,3.75,1908.0,36992.1875,707.0,91928.57142857119,-6413.0,195.51829268292684,3.0,3.0,11.311355311355312,4543253.0,1447.0,-47.16463414634147,1547.0,-44.11585365853659,707.0,0.010878010878010906,0.010878010878010906,1.9138755980861244,-400.0,9.129186602870814,2072.0,9.913875598086124,-1908.0,15.608824330340363
4573,1293.0,11.054347826086957,1236.0,10.434782608695652,3.793478260869565,1904.0,36997.0703125,710.0,81899.99999999984,-6519.0,198.75000000000003,3.0,3.0,11.316239316239317,4543413.0,1483.0,-46.554878048780495,1527.0,-45.213414634146346,710.0,0.012210012210012234,0.012210012210012234,1.8181818181818181,-380.0,9.014354066985646,2120.0,10.143540669856458,-1884.0,15.667602601117398
4574,1294.0,11.184782608695652,1224.0,10.42391304347826,3.6739130434782608,1915.0,37001.953125,710.0,81899.99999999984,-6609.0,201.4939024390244,3.0,3.0,11.321123321123322,4543573.0,1482.0,-46.09756097560976,1512.0,-45.1829268292683,710.0,0.012210012210012234,0.012210012210012234,1.8564593301435406,-388.0,8.976076555023923,2140.0,10.239234449760765,-1876.0,15.724342981276408
4575,1298.0,11.358695652173912,1208.0,10.380434782608695,3.6630434782608696,1916.0,37006.8359375,711.0,79026.31578947355,-6726.0,205.06097560975613,3.0,3.0,11.326007326007327,4543733.0,1478.0,-45.15243902439025,1481.0,-45.0609756097561,711.0,0.012654012654012677,0.012654012654012677,1.7033492822966507,-356.0,8.995215311004785,2164.0,10.354066985645932,-1880.0,15.817435971684427
4576,1299.0,11.554347826086957,1190.0,10.369565217391305,3.684782608695652,1914.0,37011.71875,710.0,81899.99999999984,-6850.0,208.84146341463418,3.0,3.0,11.330891330891331,4543893.0,1472.0,-44.39024390243903,1456.0,-44.87804878048781,710.0,0.012210012210012234,0.012210012210012234,1.7607655502392343,-368.0,8.976076555023923,2216.0,10.602870813397129,-1876.0,15.95645509996747
4577,1299.0,11.75,1172.0,10.369565217391305,3.652173913043478,1917.0,37016.6015625,710.0,81899.99999999984,-6996.0,213.2926829268293,3.0,3.0,11.335775335775336,4544053.0,1472.0,-43.35365853658537,1422.0,-44.87804878048781,710.0,0.012210012210012234,0.012210012210012234,1.645933014354067,-344.0,8.976076555023923,2272.0,10.870813397129186,-1876.0,16.091263377648346
