,Accel_LN_X_UNCAL,Accel_LN_X_CAL,Accel_LN_Y_UNCAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_LN_Z_UNCAL,System_Timestamp_Plot_Zeroed_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Resistance_UNCAL,Gyro_Z_CAL,Gyro_Z_UNCAL,GSR_Range_CAL,GSR_Range_UNCAL,Timestamp_CAL,Timestamp_UNCAL,Gyro_X_CAL,Gyro_X_UNCAL,Gyro_Y_CAL,Gyro_Y_UNCAL,GSR_Skin_Conductance_CAL,GSR_Skin_Conductance_UNCAL,GSR_Skin_Conductance_CAL,Accel_WR_Z_UNCAL,Accel_WR_Z_CAL,Accel_WR_Y_CAL,Accel_WR_Y_UNCAL,Accel_WR_X_UNCAL,Accel_WR_X_CAL,Resultant_Accel
2829,2467.0,9.293478260869565,1398.0,-2.3260869565217392,0.6195652173913043,2196.0,19921.875,79026.31578947355,711.0,108.47560975609757,-3558.0,3.0,3.0,5.802197802197802,15558103.0,70.27439024390245,-6.0,0.1829268292682927,-2305.0,0.012654012654012677,711.0,0.012654012654012677,304.0,-1.4545454545454546,-5.473684210526316,1684.0,1144.0,8.057416267942584,9.600170819998823
2830,2471.0,9.26086956521739,1401.0,-2.369565217391304,0.6630434782608695,2192.0,19926.7578125,79026.31578947355,711.0,107.46951219512196,-3525.0,3.0,3.0,5.807081807081807,15558263.0,70.85365853658537,-135.0,4.115853658536586,-2324.0,0.012654012654012677,711.0,0.012654012654012677,292.0,-1.3971291866028708,-5.511961722488038,1676.0,1152.0,8.019138755980862,9.582179870859486
2831,2468.0,9.17391304347826,1409.0,-2.3369565217391304,0.75,2184.0,19931.640625,79026.31578947355,711.0,105.91463414634147,-3474.0,3.0,3.0,5.811965811965812,15558423.0,71.09756097560977,-266.0,8.109756097560977,-2332.0,0.012654012654012677,711.0,0.012654012654012677,292.0,-1.3971291866028708,-5.588516746411483,1652.0,1168.0,7.904306220095694,9.496554444312928
2832,2477.0,9.076086956521738,1418.0,-2.4347826086956523,0.8478260869565217,2175.0,19936.5234375,76347.45762711852,712.0,103.90243902439025,-3408.0,3.0,3.0,5.816849816849817,15558583.0,72.28658536585367,-387.0,11.79878048780488,-2371.0,0.013098013098013119,712.0,0.013098013098013117,280.0,-1.339712918660287,-5.569377990430622,1640.0,1164.0,7.84688995215311,9.435164538452673
2833,2475.0,9.01086956521739,1424.0,-2.4130434782608696,0.8695652173913043,2173.0,19941.40625,76347.45762711852,712.0,101.89024390243904,-3342.0,3.0,3.0,5.8217338217338215,15558743.0,72.6219512195122,-469.0,14.29878048780488,-2382.0,0.013098013098013119,712.0,0.013098013098013117,268.0,-1.2822966507177034,-5.511961722488038,1596.0,1152.0,7.636363636363636,9.36881490993579
2834,2470.0,8.847826086956522,1439.0,-2.358695652173913,0.9130434782608695,2169.0,19946.2890625,79026.31578947355,711.0,100.27439024390245,-3289.0,3.0,3.0,5.826617826617826,15558903.0,72.77439024390245,-544.0,16.585365853658537,-2387.0,0.012654012654012677,711.0,0.012654012654012677,260.0,-1.244019138755981,-5.4162679425837315,1596.0,1132.0,7.636363636363636,9.202234513302036
2835,2462.0,8.782608695652174,1445.0,-2.2717391304347827,1.0108695652173914,2160.0,19951.171875,76347.45762711852,712.0,98.9329268292683,-3245.0,3.0,3.0,5.831501831501831,15559063.0,72.98780487804879,-643.0,19.603658536585368,-2394.0,0.013098013098013119,712.0,0.013098013098013117,228.0,-1.0909090909090908,-5.301435406698564,1560.0,1108.0,7.464114832535885,9.127807593040979
2836,2461.0,8.717391304347826,1451.0,-2.260869565217391,1.1521739130434783,2147.0,19956.0546875,76347.45762711852,712.0,96.82926829268294,-3176.0,3.0,3.0,5.836385836385836,15559223.0,72.8048780487805,-687.0,20.945121951219512,-2388.0,0.013098013098013119,712.0,0.013098013098013117,196.0,-0.937799043062201,-5.339712918660287,1536.0,1116.0,7.349282296650717,9.079204098925374
2837,2467.0,8.706521739130434,1452.0,-2.3260869565217392,1.2065217391304348,2142.0,19960.9375,81899.99999999984,710.0,95.45731707317074,-3131.0,3.0,3.0,5.841269841269841,15559383.0,72.25609756097562,-755.0,23.01829268292683,-2370.0,0.012210012210012234,710.0,0.012210012210012234,196.0,-0.937799043062201,-5.339712918660287,1556.0,1116.0,7.444976076555023,9.092298720909126
2838,2456.0,8.706521739130434,1452.0,-2.2065217391304346,1.326086956521739,2131.0,19965.8203125,81899.99999999984,710.0,94.42073170731709,-3097.0,3.0,3.0,5.846153846153846,15559543.0,71.85975609756098,-767.0,23.384146341463417,-2357.0,0.012210012210012234,710.0,0.012210012210012234,160.0,-0.7655502392344498,-5.263157894736842,1552.0,1100.0,7.425837320574162,9.079139033821606
2839,2459.0,8.67391304347826,1455.0,-2.2391304347826084,1.4456521739130435,2120.0,19970.703125,88323.5294117645,708.0,93.44512195121952,-3065.0,3.0,3.0,5.851037851037851,15559703.0,72.8658536585366,-871.0,26.55487804878049,-2390.0,0.01132201132201135,708.0,0.011322011322011348,116.0,-0.5550239234449761,-5.301435406698564,1556.0,1108.0,7.444976076555023,9.074160170381145
2840,2461.0,8.576086956521738,1464.0,-2.260869565217391,1.7282608695652173,2094.0,19975.5859375,81899.99999999984,710.0,90.79268292682927,-2978.0,3.0,3.0,5.8559218559218555,15559863.0,72.6829268292683,-968.0,29.512195121951223,-2384.0,0.012210012210012234,710.0,0.012210012210012234,64.0,-0.3062200956937799,-5.37799043062201,1536.0,1124.0,7.349282296650717,9.035910817954042
2841,2464.0,8.565217391304348,1465.0,-2.293478260869565,1.9239130434782608,2076.0,19980.46875,79026.31578947355,711.0,89.14634146341464,-2924.0,3.0,3.0,5.86080586080586,15560023.0,70.97560975609757,-1086.0,33.109756097560975,-2328.0,0.012654012654012677,711.0,0.012654012654012677,16.0,-0.07655502392344497,-5.3971291866028706,1524.0,1128.0,7.291866028708133,9.073281263812422
